"TTT","0","0"," ","","","9","12"
"TTT","1","0"," ","","","9","12"
"TTT","2","0"," ","","","9","12"
"TTT","3","0"," ","","","9","12"
"TTT","4","0"," ","","","9","12"
"TTT","5","0"," ","","","9","12"
"TTT","6","0"," ","","","9","12"
"TTT","7","0"," ","","","9","12"
"TTT","0","1"," ","","","9","12"
"TTT","1","1"," ","","","9","12"
"TTT","2","1"," ","","","9","12"
"TTT","3","1"," ","","","9","12"
"TTT","4","1"," ","","","9","12"
"TTT","5","1"," ","","","9","12"
"TTT","6","1"," ","","","9","12"
"TTT","7","1"," ","","","9","12"
"TTT","0","2"," ","","","9","12"
"TTT","1","2"," ","","","9","12"
"TTT","2","2","X","","","9","12"
"TTT","3","2","X","","","9","12"
"TTT","4","2","O","","","9","12"
"TTT","5","2"," ","","","9","12"
"TTT","6","2"," ","","","9","12"
"TTT","7","2"," ","","","9","12"
"TTT","0","3"," ","","","9","12"
"TTT","1","3","X","","","9","12"
"TTT","2","3","O","","","9","12"
"TTT","3","3","O","","","9","12"
"TTT","4","3"," ","","","9","12"
"TTT","5","3"," ","","","9","12"
"TTT","6","3"," ","","","9","12"
"TTT","7","3"," ","","","9","12"
"TTT","0","4"," ","","","9","12"
"TTT","1","4","X","","","9","12"
"TTT","2","4","O","","","9","12"
"TTT","3","4"," ","","","9","12"
"TTT","4","4"," ","","","9","12"
"TTT","5","4"," ","","","9","12"
"TTT","6","4"," ","","","9","12"
"TTT","7","4"," ","","","9","12"
"TTT","0","5"," ","","","9","12"
"TTT","1","5","O","","","9","12"
"TTT","2","5"," ","","","9","12"
"TTT","3","5"," ","","","9","12"
"TTT","4","5"," ","","","9","12"
"TTT","5","5"," ","","","9","12"
"TTT","6","5"," ","","","9","12"
"TTT","7","5"," ","","","9","12"
"TTT","0","6"," ","","","9","12"
"TTT","1","6"," ","","","9","12"
"TTT","2","6"," ","","","9","12"
"TTT","3","6"," ","","","9","12"
"TTT","4","6"," ","","","9","12"
"TTT","5","6"," ","","","9","12"
"TTT","6","6"," ","","","9","12"
"TTT","7","6"," ","","","9","12"
"TTT","0","7"," ","","","9","12"
"TTT","1","7"," ","","","9","12"
"TTT","2","7"," ","","","9","12"
"TTT","3","7"," ","","","9","12"
"TTT","4","7"," ","","","9","12"
"TTT","5","7"," ","","","9","12"
"TTT","6","7"," ","","","9","12"
"TTT","7","7"," ","","","9","12"
